bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,summary
18,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,
19,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,"From the first descent of the larynx into the throat (why you can talk but your dog can't), to the fine lost art of swearing, Bryson tells the fascinating, often uproarious story of an inadequate, second-rate�tongue�of peasants that developed into one of the world's largest growth industries."
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,
22,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,
23,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,09-05-2003,Houghton Mifflin Harcourt,
24,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78E+12,eng,218,19822,46,11-05-2003,Houghton Mifflin Harcourt,
25,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,
26,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,
27,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78E+12,eng,208,270244,12017,04-01-2000,Atheneum Books for Young Readers: Richard Jackson Books,
28,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,
29,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78E+12,eng,144,2067,334,1/23/2001,Delacorte Press,
30,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12,eng,56,6,0,06-10-2003,Cherry Lane Music Company,
31,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.78E+12,en-US,228,99,16,11-01-2005,The New Press,
32,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9.78E+12,eng,304,167,4,11-01-2005,Changeling Press,
33,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,9.78E+12,eng,256,978,111,8/17/2006,Viking Juvenile,
34,The Changeling Sea,Patricia A. McKillip,4.06,141312629,9.78E+12,eng,137,4454,302,4/14/2003,Firebird,
35,The Changeling,Zilpha Keatley Snyder,4.17,595321801,9.78E+12,eng,228,1176,96,06-08-2004,iUniverse,
36,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,9.78E+12,eng,369,345,12,8/28/1990,Ivy Books,
37,The Known World,Edward P. Jones,3.83,61159174,9.78E+12,eng,388,29686,2626,8/29/2006,Amistad,
38,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,9.78E+12,eng,334,1456,82,5/15/2006,FT Press,
39,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9.78E+12,eng,352,52,4,12/14/2005,Archaia,
40,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,9.78E+12,eng,416,562,37,06-01-1982,Farrar  Straus and Giroux,
41,Uncommon Carriers,John McPhee,3.95,374280398,9.78E+12,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,
42,Heirs of General Practice,John McPhee,4.17,374519749,9.78E+12,eng,128,268,22,04-01-1986,Farrar  Straus and Giroux,
43,The Control of Nature,John McPhee,4.24,374522596,9.78E+12,en-US,288,3498,305,09-01-1990,Farrar  Straus and Giroux,
44,Annals of the Former World,John McPhee,4.34,374518734,9.78E+12,eng,720,3115,228,01-06-1999,Farrar  Straus and Giroux,
45,Coming Into the Country,John McPhee,4.22,374522871,9.78E+12,eng,448,5704,261,04-01-1991,Farrar  Straus and Giroux,
46,La Place de la Concorde Suisse,John McPhee,3.92,374519323,9.78E+12,fre,160,698,52,04-01-1994,Farrar  Straus and Giroux,
47,Giving Good Weight,John McPhee,4.23,374516006,9.78E+12,eng,288,542,36,04-01-1994,Farrar  Straus and Giroux,
48,Rising from the Plains,John McPhee,4.23,374520658,9.78E+12,eng,208,1341,98,11-01-1987,Farrar  Straus and Giroux,
49,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,9.78E+12,eng,81,1423,70,03-01-2002,Dramatists Play Service,
50,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,9.78E+12,eng,249,2766,64,07-02-1991,Vintage,
51,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9.78E+12,eng,138,31,1,3/29/2006,Routledge,
52,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9.78E+12,en-US,128,62,4,3/14/2006,North Light Books,
53,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,9.78E+12,eng,192,860,53,09-01-2003,Chosen Books,
54,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,9.78E+12,en-US,108,77,2,1/28/1997,Association for Supervision & Curriculum Development,
55,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,9.78E+12,eng,352,153317,2257,11/15/2002,Kingfisher,
56,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,9.78E+12,eng,192,55,5,11/15/2004,ASCD,
57,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9.78E+12,eng,192,34,6,4/28/2003,Sovereign World,
58,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,9.78E+12,eng,832,11797,659,10/16/2003,Workman Publishing Company,
59,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,9.78E+12,eng,123,34,8,05-10-2004,One Hour Entertainment,
60,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9.78E+12,en-US,128,78,4,8/19/2004,North Light Books,
61,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,9.78E+12,eng,423,2785,166,6/15/1987,Ace Books,
62,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,9.78E+12,eng,436,38778,568,07-01-1987,Ace Books,
63,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,9.78E+12,eng,331,97494,2359,7/15/1987,Ace Books,
64,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,9.78E+12,en-US,592,784,21,07-01-2004,Tor Books,
65,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,9.78E+12,eng,480,272,20,4/16/1984,Putnam,
66,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,9.78E+12,eng,426,4789,83,8/29/2006,Tor Science Fiction,
67,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,9.78E+12,eng,471,45388,644,8/15/1987,Ace Books,
68,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,9.78E+12,eng,192,26153,102,06-12-2002,Houghton Mifflin Harcourt,
69,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9.78E+12,eng,544,69167,4551,9/29/1996,Ballantine Books,
70,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,9.78E+12,en-US,256,16,1,11-01-2004,Thomas Nelson,
71,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,9.78E+12,eng,205,174,16,5/19/2006,Wiley,
72,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,9.78E+12,eng,240,10,0,02-07-2000,Heinemann Drama,
73,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9.78E+12,eng,336,76,9,05-03-2005,William Morrow Paperbacks,
74,eBay for Dummies,Marsha Collier,3.5,470045299,9.78E+12,eng,386,111,9,10/30/2006,Wiley,
75,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,9.78E+12,eng,260,24,0,1/24/2006,McGraw-Hill,
76,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,9.78E+12,eng,384,55,4,9/17/2004,Wiley,
77,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,9.78E+12,eng,260,9,0,06-06-2006,Wiley,
78,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,9.78E+12,en-US,391,22,1,5/31/2004,Wiley,
79,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,9.78E+12,en-US,864,17,3,4/25/2005,Wiley,
80,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,9.78E+12,eng,873,166,4,7/29/2006,O'Reilly Media,
81,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,9.78E+12,eng,240,50,5,05-03-2005,Citadel,
82,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,9.78E+12,eng,206,13,2,05-03-2005,Citadel,
83,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,9.78E+12,eng,514,64,1,01-01-2007,O'Reilly Media,
84,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,9.78E+12,eng,838,16643,1851,5/31/2004,Penguin Classics,
85,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,9.78E+12,eng,80,16,3,11/26/1965,Cliffs Notes,
86,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,9.78E+12,eng,360,411,65,1/28/2006,Mira Books,
87,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,9.78E+12,eng,128,1204,33,11/26/1987,Cambridge University Press,
88,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,9.78E+12,eng,160,3429,279,07-03-1990,Penguin Books,
89,The Untouchable,John Banville,3.95,679767479,9.78E+12,eng,367,2163,216,6/30/1998,Vintage,
90,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9.78E+12,eng,256,613,31,02-01-1996,Buccaneer Books,
91,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,9.78E+12,en-US,320,308,40,9/27/2005,Scribner,
92,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,9.78E+12,eng,100,10,0,1/28/1995,Clarity Press,
93,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,9.78E+12,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,
94,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,9.78E+12,eng,216,10,0,9/22/2003,Pearson,
95,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,9.78E+12,eng,48,17,0,9/28/1991,Teacher Created Resources,
96,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,9.78E+12,eng,360,1035,23,10-01-1994,Harper Perennial,
97,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,9.78E+12,eng,250,36,6,05-01-2002,EMC/Paradigm Publishing,
98,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9.78E+12,eng,32,15,0,01-01-2002,Teaching Resources,
99,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,9.78E+12,spa,205,6,1,06-01-1984,Turtleback Books,
100,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,9.78E+12,eng,367,376,17,06-01-1994,Little  Brown Book Group,
101,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9.78E+12,eng,352,3086,237,01-03-2006,William Morrow,
102,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,9.78E+12,en-US,320,352,44,11-01-2005,Atria Books,
103,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,9.78E+12,eng,331,9852,633,03-07-2006,Tor Books,
104,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9.78E+12,eng,244,821,78,08-10-2004,Vintage Crime/Black Lizard,
105,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9.78E+12,eng,215,731,72,03-08-2005,Vintage Crime/Black Lizard,
106,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9.78E+12,eng,191,2897,178,08-10-2004,Vintage Crime/Black Lizard,
107,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,9.78E+12,eng,144,98,11,10-03-1990,Vintage,
108,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,9.78E+12,eng,738,20888,1688,8/30/2005,Picador USA,
109,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,9.78E+12,eng,48,66,19,10-01-2001,Sterling,
110,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,9.78E+12,eng,287,81,6,10-03-1996,Puffin,
111,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,9.78E+12,eng,217,981,52,02-01-1964,New Directions Publishing,
112,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9.78E+12,eng,154,3381,141,1/13/1994,Grove Press,
113,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,802131786,9.78E+12,eng,318,53206,2376,01-06-1994,Grove Press,
114,Tropic of Capricorn,Henry Miller,3.78,802151825,9.78E+12,eng,348,14872,459,1/13/1994,Grove Press,
115,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,9.78E+12,eng,316,3261,58,1/13/1994,Grove Press,
116,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,9.78E+12,eng,506,7805,251,01-12-1994,Grove Press,
117,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,9.78E+12,eng,292,2699,142,1/17/1970,New Directions,
118,The Portrait of a Lady,Henry James/Patricia Crick,3.78,141439637,9.78E+12,eng,797,61640,1951,9/30/2003,Penguin Classics,
119,Writing,Marguerite Duras,3.75,1571290532,9.78E+12,eng,91,778,44,05-06-1999,Brookline Books,
120,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9.78E+12,eng,192,963,65,08-01-1994,The New Press,
121,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,394743040,9.78E+12,en-US,181,2057,128,03-12-1986,Pantheon,
122,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9.78E+12,eng,178,203,8,07-01-1999,One World (UK),
123,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9.78E+12,eng,464,35,2,04-01-1998,Interlink Publishing Group,
124,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9.78E+12,eng,102,328,16,01-01-1998,Penguin Books,
125,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,394431243,9.78E+12,eng,216,1308,82,2/21/1995,Knopf,
126,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,9.78E+12,eng,132,6432,517,03-03-2003,Citadel,
127,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9.78E+12,eng,100,3015,217,6/14/2011,Knopf,
128,Treasure Island,Robert Louis Stevenson,3.83,753453800,9.78E+12,eng,311,318753,6734,9/15/2001,Kingfisher,
129,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9.78E+12,eng,232,91,16,1/31/2006,Abdo Publishing Company,
130,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9.78E+12,eng,270,88,4,11/22/1996,Black Classic Press,
131,Cien años de soledad,Gabriel García Márquez,4.07,785950109,9.78E+12,spa,448,63,7,01-01-1990,French & European,
132,On Beyond Zebra!,Dr. Seuss,4.04,394800842,9.78E+12,eng,64,2815,164,09-12-1955,Random House Books for Young Readers,
133,The Wedding Clause,Debbie Raleigh,3.6,821778250,9.78E+12,eng,256,95,13,06-07-2005,Zebra,
134,The Zebra Wall,Kevin Henkes,3.44,60733039,9.78E+12,eng,147,217,24,2/15/2005,Greenwillow Books,
135,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,9.79E+12,spa,239,4136,255,06-01-2002,Booket,
136,The Door Into Summer,Robert A. Heinlein,4.01,345413997,9.78E+12,eng,304,17232,649,6/17/1997,Del Rey,
137,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,9.78E+12,eng,528,251872,6241,10-01-1991,Ace,
138,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,9.78E+12,en-US,434,10293,193,06-01-1988,Ace Books,
139,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,9.78E+12,en-US,439,15970,438,10-12-1985,Del Rey,
140,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,9.78E+12,eng,256,6898,200,08-08-2006,Tor Books,
141,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,9.78E+12,en-US,307,67803,1401,2/15/1991,Pocket Books,
142,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,9.78E+12,eng,298,22091,746,4/26/2005,Del Rey,
143,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,9.78E+12,eng,368,2623,49,12/27/2005,Del Rey,
144,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,9.78E+12,eng,256,885,84,10/27/1998,Ballantine Books,
145,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9.78E+12,eng,336,5,0,07-01-2003,Turtleback Books,
146,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,9.78E+12,eng,72,100,13,01-12-2011,Samuel French  Inc.,
147,On Bullshit,Harry G. Frankfurt,3.57,691122946,9.78E+12,eng,67,9358,995,1/30/2005,Princeton University Press,
148,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,9.78E+12,eng,347,9318,907,09-12-2005,W. W. Norton & Company,
149,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,9.78E+12,en-US,317,120,15,06-12-1993,Simon & Schuster,
150,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,9.78E+12,eng,32,5239,76,02-02-1998,HMH Books for Young Readers,
151,Underworld,Don DeLillo,3.92,684848155,9.78E+12,eng,827,1505,175,07-09-1998,Scribner,
152,Libra,Don DeLillo,3.99,140156046,9.78E+12,eng,480,11857,564,05-01-1991,Penguin,
153,Americana,Don DeLillo,3.43,140119485,9.78E+12,eng,377,393,55,07-06-1989,Penguin Books,
154,Running Dog,Don DeLillo,3.43,679722947,9.78E+12,eng,256,1356,72,7/17/1989,Vintage Contemporaries,
155,Cosmopolis,Don DeLillo,3.22,743244257,9.78E+12,eng,224,460,41,04-06-2004,Scribner,
156,Great Jones Street,Don DeLillo,3.48,140179178,9.78E+12,eng,272,2492,145,01-01-1994,Penguin Books,
157,The Names,Don DeLillo,3.64,679722955,9.78E+12,eng,339,3100,212,7/17/1989,Vintage,
158,Against the Day,Thomas Pynchon,4.13,159420120X,9.78E+12,eng,1085,5296,587,11/21/2006,Penguin Press,
159,V.,Thomas Pynchon,3.96,60930217,9.78E+12,eng,547,1415,177,07-05-2005,Harper Perennial Modern Classics,
160,The Crying of Lot 49,Thomas Pynchon,3.69,60931671,9.78E+12,eng,152,2161,230,04-01-1999,Harper Perennial,
161,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,9.78E+12,eng,784,762,213,01-01-2000,Penguin Books,
162,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,9.78E+12,eng,773,8086,602,01-03-2004,Picador USA,
163,Vineland,Thomas Pynchon,3.69,141180633,9.78E+12,en-US,385,702,69,09-01-1997,Penguin Classics,
164,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,9.78E+12,eng,193,334,34,4/30/1985,Back Bay Books,
165,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,140189300,9.78E+12,eng,352,2473,220,8/29/1996,Penguin Classics,
166,The Year of Magical Thinking,Joan Didion,3.89,140004314X,9.78E+12,en-US,227,2656,336,10-04-2005,Knopf Publishing Group,
167,The White Album,Joan Didion,4.17,374522219,9.78E+12,eng,222,11889,738,10-01-1990,Farrar Straus Giroux,
168,A Book of Common Prayer,Joan Didion,3.8,679754865,9.78E+12,eng,272,2962,255,04-11-1995,Vintage International,
169,Where I Was From,Joan Didion,3.86,679752862,9.78E+12,eng,240,2842,292,9/14/2004,Vintage,
170,Slouching Towards Bethlehem,Joan Didion,4.21,374521727,9.78E+12,eng,238,26934,1825,10-01-1990,Farrar Straus Giroux,
171,Democracy,Joan Didion,3.81,679754857,9.78E+12,en-US,234,2070,169,4/25/1995,Vintage International,
172,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,307264874,9.78E+12,eng,1122,1564,108,10/17/2006,Everyman's Library,
173,Play It As It Lays,Joan Didion/David Thomson,3.87,374529949,9.78E+12,eng,231,23656,1706,11/15/2005,Farrar  Straus and Giroux,
174,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,143039830,9.78E+12,eng,308,43200,1873,3/28/2006,Penguin Classics,
